City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
332,bertoua,4.5833,13.6833,76.69,72,89,4.76,CM,1620286213
333,kolvereid,64.8655,11.6047,41.0,38,0,10.36,NO,1620286213
334,tucuman,-26.8241,-65.2226,50.0,93,90,5.75,AR,1620286214
335,adrar,20.5022,-10.0711,72.95,22,5,14.99,MR,1620286214
336,pevek,69.7008,170.3133,29.46,82,100,3.58,RU,1620286215
337,kahului,20.8947,-156.47,73.4,68,40,12.66,US,1620286215
338,longyearbyen,78.2186,15.6401,17.6,67,20,13.8,SJ,1620286216
339,sanchursk,56.9413,47.2499,56.14,60,27,7.14,RU,1620286216
340,cocachacra,-17.0883,-71.7575,66.15,86,100,3.09,PE,1620286216
341,tiarei,-17.5333,-149.3333,80.6,78,40,3.44,PF,1620286217
342,bom jesus,-9.0744,-44.3586,68.56,92,75,1.07,BR,1620286217
343,san vicente,-26.6167,-54.1333,53.29,99,100,5.53,AR,1620286218
344,hakkari,37.5833,44.1667,62.6,51,40,5.75,TR,1620286218
345,balaipungut,1.05,101.2833,82.4,78,40,5.75,ID,1620286219
346,bowen,-20.0167,148.2333,69.8,64,70,5.75,AU,1620286219
347,lompoc,34.6391,-120.4579,51.8,93,2,2.53,US,1620285942
348,ambunti,-4.2365,142.8448,82.09,79,99,4.0,PG,1620286220
349,ostrovnoy,68.0531,39.5131,30.97,81,99,8.75,RU,1620286220
350,bubaque,11.2833,-15.8333,77.47,63,34,9.89,GW,1620286221
351,la rioja,42.25,-2.5,55.0,87,0,2.3,ES,1620286221
352,palmer,42.1584,-72.3287,48.99,87,75,3.44,US,1620286222
353,esmeraldas,-19.7625,-44.3139,60.8,82,0,2.3,BR,1620286222
354,gilbues,-9.8317,-45.3439,68.43,87,82,3.71,BR,1620286223
355,san juan de la maguana,18.8059,-71.2299,68.0,92,0,1.74,DO,1620286223
356,yar-sale,66.8333,70.8333,32.88,94,100,30.65,RU,1620286223
357,ancud,-41.8697,-73.8203,37.99,100,13,5.75,CL,1620286224
358,orcopampa,-15.2661,-72.3417,38.66,90,96,3.0,PE,1620286224
359,synya,65.3718,58.0387,34.23,91,100,8.16,RU,1620286225
360,myitkyina,25.3833,97.4,97.95,27,8,3.98,MM,1620286225
361,winnemucca,40.973,-117.7357,60.8,27,1,9.22,US,1620286226
362,san blas,21.5167,-105.2667,68.77,80,0,3.51,MX,1620286226
363,pochutla,15.7432,-96.4661,77.61,79,62,1.54,MX,1620286227
364,rawson,-43.3002,-65.1023,50.11,55,100,7.38,AR,1620286227
365,zaozerne,45.1582,33.2787,62.01,35,99,4.65,UA,1620286227
